DEBUG 2024-12-21 19:08:22,061 <ipython-input-1-c81a10b11093> Testing log entry: Logging permissions are now set.
DEBUG 2024-12-21 19:08:31,936 <ipython-input-2-c81a10b11093> Testing log entry: Logging permissions are now set.
DEBUG 2024-12-21 19:18:20,211 custom_storages Custom storages logger is configured correctly.
DEBUG 2024-12-21 19:18:20,212 custom_storages [DEBUG] Saving file: testdrone1.webp
DEBUG 2024-12-21 19:18:20,212 custom_storages [DEBUG] Original name: testdrone1.webp
DEBUG 2024-12-21 19:18:20,212 custom_storages Original filename: testdrone1.webp
DEBUG 2024-12-21 19:18:20,212 custom_storages [DEBUG] Generating filename: media/testdrone1.webp
DEBUG 2024-12-21 19:18:20,212 custom_storages [DEBUG] Available name after generate_filename: media/testdrone1.webp
DEBUG 2024-12-21 19:18:20,212 custom_storages [DEBUG] Final name for saving: media/testdrone1.webp
DEBUG 2024-12-21 19:18:20,212 custom_storages [DEBUG] Original name: media/testdrone1.webp
DEBUG 2024-12-21 19:18:20,212 custom_storages Original filename: media/testdrone1.webp
DEBUG 2024-12-21 19:18:20,212 custom_storages [DEBUG] Generating filename: media/testdrone1.webp
DEBUG 2024-12-21 19:18:20,212 custom_storages [DEBUG] Available name after generate_filename: media/testdrone1.webp
DEBUG 2024-12-21 19:28:55,881 custom_storages [DEBUG] Saving file: testdrone1.webp
DEBUG 2024-12-21 19:28:55,881 custom_storages [DEBUG] Original name: testdrone1.webp
DEBUG 2024-12-21 19:28:55,881 custom_storages Original filename: testdrone1.webp
DEBUG 2024-12-21 19:28:55,881 custom_storages [DEBUG] Generating filename: media/testdrone1.webp
DEBUG 2024-12-21 19:28:55,881 custom_storages [DEBUG] Available name after generate_filename: media/testdrone1.webp
DEBUG 2024-12-21 19:28:55,881 custom_storages [DEBUG] Final name for saving: media/testdrone1.webp
DEBUG 2024-12-21 19:28:55,881 custom_storages [DEBUG] Original name: media/testdrone1.webp
DEBUG 2024-12-21 19:28:55,881 custom_storages Original filename: media/testdrone1.webp
DEBUG 2024-12-21 19:28:55,881 custom_storages [DEBUG] Generating filename: media/testdrone1.webp
DEBUG 2024-12-21 19:28:55,882 custom_storages [DEBUG] Available name after generate_filename: media/testdrone1.webp
DEBUG 2024-12-21 19:31:51,576 custom_storages [DEBUG] Saving file: testdrone1.webp
DEBUG 2024-12-21 19:31:51,576 custom_storages [DEBUG] Original name: testdrone1.webp
DEBUG 2024-12-21 19:31:51,576 custom_storages Original filename: testdrone1.webp
DEBUG 2024-12-21 19:31:51,576 custom_storages [DEBUG] Generating filename: media/testdrone1.webp
DEBUG 2024-12-21 19:31:51,576 custom_storages [DEBUG] Available name after generate_filename: media/testdrone1.webp
DEBUG 2024-12-21 19:31:51,576 custom_storages [DEBUG] Final name for saving: media/testdrone1.webp
DEBUG 2024-12-21 19:31:51,576 custom_storages [DEBUG] Original name: media/testdrone1.webp
DEBUG 2024-12-21 19:31:51,576 custom_storages Original filename: media/testdrone1.webp
DEBUG 2024-12-21 19:31:51,576 custom_storages [DEBUG] Generating filename: media/testdrone1.webp
DEBUG 2024-12-21 19:31:51,576 custom_storages [DEBUG] Available name after generate_filename: media/testdrone1.webp
DEBUG 2024-12-21 19:34:11,328 custom_storages [DEBUG] Saving file: testdrone1.webp
DEBUG 2024-12-21 19:34:11,328 custom_storages [DEBUG] Original name: testdrone1.webp
DEBUG 2024-12-21 19:34:11,328 custom_storages Original filename: testdrone1.webp
DEBUG 2024-12-21 19:34:11,328 custom_storages [DEBUG] Generating filename: media/testdrone1.webp
DEBUG 2024-12-21 19:34:11,328 custom_storages [DEBUG] Available name after generate_filename: media/testdrone1.webp
DEBUG 2024-12-21 19:34:11,328 custom_storages [DEBUG] Final name for saving: media/testdrone1.webp
DEBUG 2024-12-21 19:34:11,328 custom_storages [DEBUG] Original name: media/testdrone1.webp
DEBUG 2024-12-21 19:34:11,328 custom_storages Original filename: media/testdrone1.webp
DEBUG 2024-12-21 19:34:11,328 custom_storages [DEBUG] Generating filename: media/testdrone1.webp
DEBUG 2024-12-21 19:34:11,328 custom_storages [DEBUG] Available name after generate_filename: media/testdrone1.webp
DEBUG 2024-12-21 19:38:28,484 custom_storages [DEBUG] Saving file: testdrone1.webp
DEBUG 2024-12-21 19:38:28,484 custom_storages [DEBUG] Original name: testdrone1.webp
DEBUG 2024-12-21 19:38:28,484 custom_storages Original filename: testdrone1.webp
DEBUG 2024-12-21 19:38:28,484 custom_storages [DEBUG] Generating filename: media/testdrone1.webp
DEBUG 2024-12-21 19:38:28,484 custom_storages [DEBUG] Available name after generate_filename: media/testdrone1.webp
DEBUG 2024-12-21 19:38:28,484 custom_storages [DEBUG] Final name for saving: media/testdrone1.webp
DEBUG 2024-12-21 19:38:28,484 custom_storages [DEBUG] Original name: media/testdrone1.webp
DEBUG 2024-12-21 19:38:28,484 custom_storages Original filename: media/testdrone1.webp
DEBUG 2024-12-21 19:38:28,484 custom_storages [DEBUG] Generating filename: media/testdrone1.webp
DEBUG 2024-12-21 19:38:28,484 custom_storages [DEBUG] Available name after generate_filename: media/testdrone1.webp
DEBUG 2024-12-21 19:44:37,065 custom_storages [DEBUG] Saving file: testdrone1.webp
DEBUG 2024-12-21 19:44:37,065 custom_storages [DEBUG] Original name: testdrone1.webp
DEBUG 2024-12-21 19:44:37,065 custom_storages Original filename: testdrone1.webp
DEBUG 2024-12-21 19:44:37,065 custom_storages [DEBUG] Generating filename: media/testdrone1.webp
DEBUG 2024-12-21 19:44:37,066 custom_storages [DEBUG] Available name after generate_filename: media/testdrone1.webp
DEBUG 2024-12-21 19:44:37,066 custom_storages [DEBUG] Final name for saving: media/testdrone1.webp
DEBUG 2024-12-21 19:44:37,066 custom_storages [DEBUG] Original name: media/testdrone1.webp
DEBUG 2024-12-21 19:44:37,066 custom_storages Original filename: media/testdrone1.webp
DEBUG 2024-12-21 19:44:37,066 custom_storages [DEBUG] Generating filename: media/testdrone1.webp
DEBUG 2024-12-21 19:44:37,066 custom_storages [DEBUG] Available name after generate_filename: media/testdrone1.webp
DEBUG 2024-12-21 19:50:09,053 custom_storages Original filename: media/testdrone1.webp
DEBUG 2024-12-21 19:50:09,053 custom_storages [DEBUG] Generating filename: media/testdrone1.webp
DEBUG 2024-12-21 19:54:27,149 custom_storages [DEBUG] Saving file: testdrone1.webp
DEBUG 2024-12-21 19:54:27,149 custom_storages [DEBUG] Original name: testdrone1.webp
DEBUG 2024-12-21 19:54:27,149 custom_storages Original filename: testdrone1.webp
DEBUG 2024-12-21 19:54:27,149 custom_storages [DEBUG] Generating filename: media/testdrone1.webp
DEBUG 2024-12-21 19:54:27,149 custom_storages [DEBUG] Available name after generate_filename: media/testdrone1.webp
DEBUG 2024-12-21 19:54:27,149 custom_storages [DEBUG] Final name for saving: media/testdrone1.webp
DEBUG 2024-12-21 19:54:27,149 custom_storages [DEBUG] Original name: media/testdrone1.webp
DEBUG 2024-12-21 19:54:27,149 custom_storages Original filename: media/testdrone1.webp
DEBUG 2024-12-21 19:54:27,149 custom_storages [DEBUG] Generating filename: media/testdrone1.webp
DEBUG 2024-12-21 19:54:27,149 custom_storages [DEBUG] Available name after generate_filename: media/testdrone1.webp
DEBUG 2024-12-21 20:01:06,916 custom_storages [DEBUG] Saving file: testdrone1.webp
DEBUG 2024-12-21 20:01:06,916 custom_storages [DEBUG] Original name: testdrone1.webp
DEBUG 2024-12-21 20:01:06,916 custom_storages Original filename: testdrone1.webp
DEBUG 2024-12-21 20:01:06,916 custom_storages [DEBUG] Generating filename: media/testdrone1.webp
DEBUG 2024-12-21 20:01:06,916 custom_storages [DEBUG] Available name after generate_filename: media/testdrone1.webp
DEBUG 2024-12-21 20:01:06,916 custom_storages [DEBUG] Final name for saving: media/testdrone1.webp
DEBUG 2024-12-21 20:01:06,916 custom_storages [DEBUG] Original name: media/testdrone1.webp
DEBUG 2024-12-21 20:01:06,916 custom_storages Original filename: media/testdrone1.webp
DEBUG 2024-12-21 20:01:06,916 custom_storages [DEBUG] Generating filename: media/testdrone1.webp
DEBUG 2024-12-21 20:01:06,916 custom_storages [DEBUG] Available name after generate_filename: media/testdrone1.webp
DEBUG 2024-12-21 20:05:34,515 custom_storages [DEBUG] Saving file: testdrone1.webp
DEBUG 2024-12-21 20:05:34,515 custom_storages [DEBUG] Original name: testdrone1.webp
DEBUG 2024-12-21 20:05:34,515 custom_storages Original filename: testdrone1.webp
DEBUG 2024-12-21 20:05:34,515 custom_storages [DEBUG] Generating filename: media/testdrone1.webp
DEBUG 2024-12-21 20:05:34,515 custom_storages [DEBUG] Available name after generate_filename: media/testdrone1.webp
DEBUG 2024-12-21 20:05:34,516 custom_storages [DEBUG] Final name for saving: media/testdrone1.webp
DEBUG 2024-12-21 20:05:34,516 custom_storages [DEBUG] Original name: media/testdrone1.webp
DEBUG 2024-12-21 20:05:34,516 custom_storages Original filename: media/testdrone1.webp
DEBUG 2024-12-21 20:05:34,516 custom_storages [DEBUG] Generating filename: media/testdrone1.webp
DEBUG 2024-12-21 20:05:34,516 custom_storages [DEBUG] Available name after generate_filename: media/testdrone1.webp
DEBUG 2024-12-21 20:06:41,295 custom_storages [DEBUG] Saving file: testdrone1.webp
DEBUG 2024-12-21 20:06:41,295 custom_storages [DEBUG] Original name: testdrone1.webp
DEBUG 2024-12-21 20:06:41,295 custom_storages Original filename: testdrone1.webp
DEBUG 2024-12-21 20:06:41,295 custom_storages [DEBUG] Generating filename: media/testdrone1.webp
DEBUG 2024-12-21 20:06:41,295 custom_storages [DEBUG] Available name after generate_filename: media/testdrone1.webp
DEBUG 2024-12-21 20:06:41,295 custom_storages [DEBUG] Final name for saving: media/testdrone1.webp
DEBUG 2024-12-21 20:06:41,295 custom_storages [DEBUG] Original name: media/testdrone1.webp
DEBUG 2024-12-21 20:06:41,295 custom_storages Original filename: media/testdrone1.webp
DEBUG 2024-12-21 20:06:41,295 custom_storages [DEBUG] Generating filename: media/testdrone1.webp
DEBUG 2024-12-21 20:06:41,295 custom_storages [DEBUG] Available name after generate_filename: media/testdrone1.webp
DEBUG 2024-12-21 20:10:18,602 custom_storages [DEBUG] Saving file: testdrone1.webp
DEBUG 2024-12-21 20:10:18,602 custom_storages [DEBUG] Original name: testdrone1.webp
DEBUG 2024-12-21 20:10:18,602 custom_storages Original filename: testdrone1.webp
